,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre
0,s1000,TV Show,Edge white,Shane Sampson,"Jonathan Fernandez, Juan Harvey, Dr. Sarah Davis, Kelsey Fleming MD, Stephen Watkins",Australia,29-04-2024,2017.0,TV-G,4 Season(s),Documentary
1,s1001,TV Show,No task cover oil,Ashley Cooper,"Kevin Rosario, Kenneth Shaw",Japan,23-12-2024,1984.0,PG,7 Season(s),Action
5,s1005,Movie,Involve,Jeremy Velazquez,"Daniel Neal, Christie Walter, Carol Smith MD, George Davis, Thomas Campbell",France,30-07-2023,1973.0,TV-MA,80 min,Romance
6,s1006,Movie,Guess at decision more,Cynthia Smith,"Wendy Hill, Austin Wallace, Anthony Key",Australia,16-11-2023,1975.0,TV-G,61 min,Thriller
7,s1007,TV Show,Evidence management ability,Jessica Roberts,Patrick Lee,UK,30-04-2022,1969.0,PG-13,1 Season(s),Documentary
9,s1009,TV Show,Available bill there,Joshua White,"Donna Lamb, Heidi Lopez, Amy Taylor, Amanda Bowman, Henry Townsend",UK,06-07-2021,1962.0,TV-PG,9 Season(s),Comedy
10,s1010,TV Show,Kid might spring,John King,"Heather Thomas, Pamela Hill",Australia,11-01-2024,2024.0,TV-Y7,8 Season(s),Animation
11,s1011,TV Show,Candidate,Jacqueline Miller,"Eric Johnson, Jeremy Juarez",Canada,24-03-2022,1996.0,R,9 Season(s),Animation
13,s1013,TV Show,Least only,Francisco Garza,"Andrew Johnson, Greg Carrillo, Kelsey Mcclure, Andrew Meyer, Kristin Parker",Japan,01-05-2022,1965.0,G,4 Season(s),Thriller
14,s1014,Movie,Use let environment,Marilyn Davis,"Hannah Moore, Kyle Weber, Cynthia Green",France,08-07-2023,1972.0,TV-Y,40 min,Fantasy
15,s1015,TV Show,When industry station,Denise Wood,Scott Steele,India,29-10-2022,2013.0,TV-14,9 Season(s),Fantasy
18,s1018,TV Show,Short current trouble,Michael Johnson,"Mr. Joseph Yang, Andrew Johnson, Michele Lee, Leah Lewis, Hannah Williams",India,25-08-2023,2012.0,TV-14,6 Season(s),Fantasy
19,s1019,Movie,Assume development,Kim Ferguson,Larry Baker,Germany,13-01-2023,1976.0,TV-Y7,138 min,Fantasy
20,s1020,Movie,Audience clear,Karen Schultz,"Jonathan Cooper, Melissa Morris, Ronald Butler, Dr. Adam Yang, Joshua Charles",USA,28-12-2020,1988.0,PG-13,43 min,Comedy
22,s1022,Movie,Up support,Sherry Andrade,"Kelly Ross, Kristina Taylor, Mark Taylor, Lisa Wilcox",South Korea,05-08-2022,2001.0,TV-G,151 min,Animation
23,s1023,TV Show,Method report,Shawna Mathews,"Rhonda Morrison, Patrick Allen, Julia Cordova, Laura Morrison",India,29-10-2020,1955.0,TV-Y7,4 Season(s),Horror
24,s1024,TV Show,Significant character,Jennifer Forbes,"Christopher Bullock, Timothy Holmes",Germany,11-04-2024,2009.0,TV-Y7,2 Season(s),Horror
25,s1025,TV Show,Political continue,Greg Moreno,"April Alvarez, Michael Johnson, Tonya Dalton, Cody Lyons",India,18-10-2023,1971.0,TV-G,7 Season(s),Drama
26,s1026,TV Show,Mouth student sister,Elizabeth Heath,"Maria Gonzalez, Rebecca Campbell, Spencer Ellis, Maria Huerta, Mitchell Brown",India,15-03-2022,1957.0,R,10 Season(s),Animation
28,s1028,TV Show,Seat report continue appear,Abigail Ingram,"David Dominguez, Mary Rivera, Lisa Holland, Maria Hicks, Jennifer Christian",USA,17-07-2024,2009.0,TV-MA,8 Season(s),Documentary
29,s1029,Movie,Exist attorney attention,Jonathan Ortiz,"David Walker, Denise Jenkins, Lisa Gibson, Frank Richards",France,02-04-2021,1994.0,TV-PG,163 min,Animation
31,s1031,TV Show,Job series other,Mary Keller,Samantha Cole,France,08-04-2021,1954.0,TV-G,3 Season(s),Fantasy
32,s1032,Movie,Answer top,Randy Washington,"Casey Mora, Pam Washington, Sara Morales, Sabrina Jones",South Korea,31-12-2024,1999.0,TV-Y,121 min,Documentary
34,s1034,TV Show,Whole democratic much,Jeffrey Perez,"Hannah Howard, Jeffrey Porter, Jeffrey Cruz",India,01-07-2024,1967.0,TV-14,2 Season(s),Thriller
35,s1035,Movie,Indicate game idea,Jason Davis,Veronica Camacho,Brazil,11-02-2021,1975.0,TV-Y7,58 min,Romance
39,s1039,TV Show,Notice arm,Richard Grant,"Keith Fernandez, Laurie Rivera, Mrs. Cassandra Flores MD, Ashley Lee",Australia,25-05-2020,1981.0,TV-MA,8 Season(s),Drama
40,s1040,Movie,Could her,Randall Mahoney,"Misty Williams, Joshua Silva, Steve Martin",UK,08-01-2025,1997.0,TV-MA,12 min,Sci-Fi
41,s1041,TV Show,Thank word,Sara Ross,Jasmine Mcdonald,UK,06-05-2023,1964.0,TV-14,3 Season(s),Drama
42,s1042,Movie,Today significant,Stephanie Jimenez,Michelle Kent,Australia,01-06-2021,2006.0,TV-Y,165 min,Animation
46,s1046,Movie,Join surface protect,Melissa Foster MD,"Michael Weber, Candace Wheeler",Canada,28-06-2021,2015.0,TV-Y7,116 min,Comedy
47,s1047,Movie,Turn ok year,Michael Buck,"Reginald Williams, Jodi Browning, Natasha Manning, Monica Torres",South Korea,11-05-2022,1968.0,TV-G,64 min,Romance
48,s1048,Movie,Certainly prevent,Joseph Hill,"Corey Jones, Veronica Cunningham, Michael Torres",Brazil,12-10-2020,1985.0,TV-14,100 min,Animation
49,s1049,Movie,East case understand with,Anthony Long,"Kathleen Barnes, Latasha Bender",Japan,07-09-2023,2004.0,R,17 min,Drama
50,s1050,Movie,Professional white on,Cassandra Ferguson,"Kelsey Gordon, Christopher Moore, David Meza, Mary Villanueva, Lauren Cook",India,16-03-2021,2007.0,TV-G,44 min,Drama
51,s1051,TV Show,To town,Jodi Watkins,"Jessica Conley, Jason Newman",India,30-06-2021,1962.0,G,2 Season(s),Animation
53,s1053,Movie,Special send recognize down,Debbie Soto,Amanda Anderson,France,05-10-2023,1981.0,TV-MA,89 min,Sci-Fi
56,s1056,Movie,Laugh term data,Jessica French,"Jackson Patrick, Tammy Foster",India,13-12-2021,1978.0,TV-14,109 min,Action
57,s1057,Movie,Although exist sing,Alicia Mckenzie,"Lydia Baker, Carlos Reyes, Katherine Maxwell, Seth Walker, Joe Smith",Australia,07-05-2022,1991.0,TV-Y,68 min,Animation
58,s1058,TV Show,Month east simply girl,Danielle Cain,"Juan Burns, Jeffrey Patterson",Brazil,17-01-2025,1953.0,TV-Y7,7 Season(s),Fantasy
59,s1059,Movie,Unit before worry project,Wayne Parks,Daryl Parks,South Korea,14-04-2024,1996.0,TV-G,75 min,Action
60,s1060,TV Show,Nature east,Nicole Coleman,Alan Pitts,India,13-07-2021,2016.0,PG-13,1 Season(s),Action
63,s1063,TV Show,Fast program notice,Christopher Rose,"Kayla West, Shane Mcdaniel, Zachary Evans",Canada,12-07-2024,2003.0,TV-PG,10 Season(s),Drama
65,s1065,Movie,Include technology material,Colleen Daugherty,"Dr. Holly Johnson, Crystal Valenzuela, Sherry Johnson",India,15-01-2025,1986.0,TV-PG,66 min,Action
66,s1066,Movie,Meeting,Kenneth Rojas,"Lindsay Garcia, Donald Thomas, Lisa Herman, Ariel Miller, Jasmine Gilbert",South Korea,25-10-2020,2024.0,TV-Y7,171 min,Drama
68,s1068,Movie,Tend several,Jill Williams,"Betty Garcia, Judy Taylor, Marcus Stewart, Mrs. Barbara Mccarthy, Kristopher Gomez",Japan,27-06-2023,1986.0,R,137 min,Drama
69,s1069,TV Show,First tree hot,Felicia Mejia,"Haley Brooks, April Hawkins, Carla Cunningham",USA,28-03-2022,1978.0,TV-Y7,6 Season(s),Horror
70,s1070,TV Show,Its put cost resource,Margaret Webb,"Sara Sweeney, Laura Morales, Megan Allison, Shawn Beltran, Stephanie Dunn",Germany,01-09-2024,1974.0,R,9 Season(s),Horror
73,s1073,Movie,General less blue,Steven Sellers,"James Adams, James Griffin, Randy Villa",Brazil,10-12-2024,1996.0,G,165 min,Romance
74,s1074,TV Show,Thus support,Mark Oneill,"Michael Wyatt, Mary Harrell",UK,02-06-2021,1979.0,PG-13,7 Season(s),Documentary
76,s1076,TV Show,Hard which,Robert Smith,"Kristina Young, Zachary Smith, Elaine Kramer",India,30-03-2021,1987.0,PG-13,4 Season(s),Fantasy
78,s1078,TV Show,Policy cover,Deanna Taylor,"Michele White, Patricia Schmidt",Japan,07-12-2023,1983.0,TV-Y,3 Season(s),Sci-Fi
79,s1079,Movie,Involve civil science,Ryan Harris,"Stephanie White, Tracy Castillo, Chelsea Brown, Lauren Jackson, Austin Collins",Australia,17-08-2024,1951.0,TV-MA,112 min,Animation
81,s1081,TV Show,Keep,Robert Stevens,"Bradley Miller, Michelle Mason, Amber Rivera, Michael Perez, David Schneider",Germany,17-07-2020,1973.0,PG-13,2 Season(s),Romance
82,s1082,TV Show,Either remember,Barry Hoffman,"Rachael Cross, Robert Robinson",Canada,30-12-2022,1976.0,PG,3 Season(s),Animation
83,s1083,TV Show,Material military focus camera,Michelle Boyle,"Amanda Serrano, Daniel Ruiz",Australia,26-03-2020,2022.0,TV-Y7,8 Season(s),Animation
84,s1084,Movie,Suffer hear difficult,Melissa Haas,"Cynthia Blackwell, John Tanner",India,13-08-2020,2020.0,R,129 min,Animation
